Dataset,Cenario,Modelo,ACC,Recall,F1-Score,TN,FP,FN,TP
CICIDS2017,Original (sem balancear),MLP,0.9834,0.9819,0.9552,9680,160,39,2121
CICIDS2017,Original (sem balancear),XGBoost,0.9993,0.9981,0.9981,9836,4,4,2156
CICIDS2017,Original (sem balancear),RandomForest,0.9986,0.9935,0.9961,9837,3,14,2146
CICIDS2017,Original (sem balancear),LSTM,0.8471,0.2282,0.3495,9672,168,1667,493
CICIDS2017,SMOTETomek,MLP,0.9677,0.95,0.9138,9561,279,108,2052
CICIDS2017,SMOTETomek,XGBoost,0.9991,0.9981,0.9975,9833,7,4,2156
CICIDS2017,SMOTETomek,RandomForest,0.9992,0.9968,0.9977,9837,3,7,2153
CICIDS2017,SMOTETomek,LSTM,0.8628,0.8773,0.6971,8458,1382,265,1895
CICIDS2017,GAN+MLP,MLP,0.9839,0.9838,0.9566,9682,158,35,2125
CICIDS2017,GAN+MLP,XGBoost,0.9991,0.9977,0.9975,9834,6,5,2155
CICIDS2017,GAN+MLP,RandomForest,0.9983,0.9926,0.9954,9836,4,16,2144
CICIDS2017,GAN+MLP,LSTM,0.8125,0.5556,0.5161,8550,1290,960,1200
CICIDS2017,WGAN-GP,MLP,0.9617,0.8981,0.8942,9601,239,220,1940
CICIDS2017,WGAN-GP,XGBoost,0.999,0.9972,0.9972,9834,6,6,2154
CICIDS2017,WGAN-GP,RandomForest,0.9984,0.9926,0.9956,9837,3,16,2144
CICIDS2017,WGAN-GP,LSTM,0.9213,0.8593,0.7973,9200,640,304,1856
CICIDS2017,cWGAN-GP,MLP,0.9597,0.9046,0.89,9563,277,206,1954
CICIDS2017,cWGAN-GP,XGBoost,0.9989,0.9972,0.997,9833,7,6,2154
CICIDS2017,cWGAN-GP,RandomForest,0.9986,0.9935,0.9961,9837,3,14,2146
CICIDS2017,cWGAN-GP,LSTM,0.9128,0.8014,0.768,9223,617,429,1731
CICIDS2017,CTGAN,MLP,0.9613,0.913,0.8947,9564,276,188,1972
CICIDS2017,CTGAN,XGBoost,0.9992,0.9977,0.9977,9835,5,5,2155
CICIDS2017,CTGAN,RandomForest,0.9987,0.994,0.9963,9837,3,13,2147
CICIDS2017,CTGAN,LSTM,0.9015,0.8773,0.7623,8923,917,265,1895
