Dataset,Cenario,Modelo,ACC,Recall,F1-Score,TN,FP,FN,TP
Edge-IIoTset,Original (sem balancear),MLP,0.9725,0.8486,0.9174,9837,3,327,1833
Edge-IIoTset,Original (sem balancear),XGBoost,0.9971,0.9838,0.9918,9840,0,35,2125
Edge-IIoTset,Original (sem balancear),RandomForest,0.9969,0.9829,0.9914,9840,0,37,2123
Edge-IIoTset,Original (sem balancear),LSTM,0.9036,0.4648,0.6344,9839,1,1156,1004
Edge-IIoTset,SMOTETomek,MLP,0.9688,0.8685,0.9094,9750,90,284,1876
Edge-IIoTset,SMOTETomek,XGBoost,0.9947,1.0,0.9854,9776,64,0,2160
Edge-IIoTset,SMOTETomek,RandomForest,0.9945,1.0,0.985,9774,66,0,2160
Edge-IIoTset,SMOTETomek,LSTM,0.9073,0.5301,0.6729,9742,98,1015,1145
Edge-IIoTset,GAN+MLP,MLP,0.9474,0.8032,0.8461,9634,206,425,1735
Edge-IIoTset,GAN+MLP,XGBoost,0.997,0.9833,0.9916,9840,0,36,2124
Edge-IIoTset,GAN+MLP,RandomForest,0.9969,0.9829,0.9914,9840,0,37,2123
Edge-IIoTset,GAN+MLP,LSTM,0.8367,0.6685,0.5958,8597,1243,716,1444
Edge-IIoTset,WGAN-GP,MLP,0.9751,0.863,0.9258,9837,3,296,1864
Edge-IIoTset,WGAN-GP,XGBoost,0.9968,0.9819,0.9909,9840,0,39,2121
Edge-IIoTset,WGAN-GP,RandomForest,0.997,0.9833,0.9916,9840,0,36,2124
Edge-IIoTset,WGAN-GP,LSTM,0.9047,0.5403,0.6711,9689,151,993,1167
Edge-IIoTset,cWGAN-GP,MLP,0.9521,0.7671,0.8521,9768,72,503,1657
Edge-IIoTset,cWGAN-GP,XGBoost,0.997,0.9833,0.9916,9840,0,36,2124
Edge-IIoTset,cWGAN-GP,RandomForest,0.997,0.9833,0.9916,9840,0,36,2124
Edge-IIoTset,cWGAN-GP,LSTM,0.8796,0.331,0.4974,9840,0,1445,715
Edge-IIoTset,CTGAN,MLP,0.9671,0.8625,0.9041,9742,98,297,1863
Edge-IIoTset,CTGAN,XGBoost,0.9971,0.9838,0.9918,9840,0,35,2125
Edge-IIoTset,CTGAN,RandomForest,0.9971,0.9838,0.9918,9840,0,35,2125
Edge-IIoTset,CTGAN,LSTM,0.9075,0.519,0.6689,9769,71,1039,1121
