Dataset,Cenario,Modelo,ACC,Recall,F1-Score,TN,FP,FN,TP
IoT-23 REAL,Original (sem balancear),MLP,0.9393,0.6736,0.7999,9817,23,705,1455
IoT-23 REAL,Original (sem balancear),XGBoost,0.9769,0.8736,0.9316,9836,4,273,1887
IoT-23 REAL,Original (sem balancear),RandomForest,0.966,0.8755,0.9026,9701,139,269,1891
IoT-23 REAL,Original (sem balancear),LSTM,0.8952,0.4491,0.6068,9773,67,1190,970
IoT-23 REAL,SMOTETomek,MLP,0.923,0.6866,0.7625,9593,247,677,1483
IoT-23 REAL,SMOTETomek,XGBoost,0.9752,0.8741,0.9271,9815,25,272,1888
IoT-23 REAL,SMOTETomek,RandomForest,0.9443,0.8819,0.8508,9427,413,255,1905
IoT-23 REAL,SMOTETomek,LSTM,0.9255,0.6759,0.7656,9646,194,700,1460
IoT-23 REAL,GAN+MLP,MLP,0.8411,0.6333,0.5893,8725,1115,792,1368
IoT-23 REAL,GAN+MLP,XGBoost,0.9766,0.8718,0.9306,9836,4,277,1883
IoT-23 REAL,GAN+MLP,RandomForest,0.9665,0.8755,0.9039,9707,133,269,1891
IoT-23 REAL,GAN+MLP,LSTM,0.7172,0.7435,0.4862,7000,2840,554,1606
IoT-23 REAL,WGAN-GP,MLP,0.9452,0.7065,0.8226,9816,24,634,1526
IoT-23 REAL,WGAN-GP,XGBoost,0.9766,0.8713,0.9305,9837,3,278,1882
IoT-23 REAL,WGAN-GP,RandomForest,0.9666,0.8759,0.9042,9707,133,268,1892
IoT-23 REAL,WGAN-GP,LSTM,0.9323,0.6769,0.7827,9726,114,698,1462
IoT-23 REAL,cWGAN-GP,MLP,0.9069,0.5917,0.6959,9605,235,882,1278
IoT-23 REAL,cWGAN-GP,XGBoost,0.9767,0.8713,0.9308,9838,2,278,1882
IoT-23 REAL,cWGAN-GP,RandomForest,0.9664,0.8755,0.9037,9706,134,269,1891
IoT-23 REAL,cWGAN-GP,LSTM,0.9163,0.675,0.7437,9537,303,702,1458
IoT-23 REAL,CTGAN,MLP,0.9392,0.6764,0.8001,9809,31,699,1461
IoT-23 REAL,CTGAN,XGBoost,0.9766,0.8718,0.9306,9836,4,277,1883
IoT-23 REAL,CTGAN,RandomForest,0.9664,0.8755,0.9037,9706,134,269,1891
IoT-23 REAL,CTGAN,LSTM,0.9139,0.6144,0.7198,9640,200,833,1327
