Fold,Cenario,ACC,Recall,F1-Score,TN,FP,FN,TP
1,Original (sem balancear),0.9485,0.7139,0.8331,3280,0,206,514
1,SMOTETomek,0.9738,0.9028,0.9253,3245,35,70,650
1,WGAN-GP,0.9477,0.7972,0.846,3217,63,146,574
1,cWGAN-GP,0.9563,0.8514,0.8751,3212,68,107,613
2,Original (sem balancear),0.9595,0.7778,0.8736,3278,2,160,560
2,SMOTETomek,0.9485,0.8931,0.8619,3151,129,77,643
2,WGAN-GP,0.9667,0.8306,0.8999,3269,11,122,598
2,cWGAN-GP,0.9073,0.8097,0.7586,3046,234,137,583
3,Original (sem balancear),0.9677,0.8222,0.9018,3279,1,128,592
3,SMOTETomek,0.9912,0.9611,0.9753,3273,7,28,692
3,WGAN-GP,0.968,0.8444,0.9048,3264,16,112,608
3,cWGAN-GP,0.965,0.8194,0.8939,3270,10,130,590
4,Original (sem balancear),0.9698,0.8347,0.9085,3278,2,119,601
4,SMOTETomek,0.964,0.8556,0.8953,3240,40,104,616
4,WGAN-GP,0.9615,0.7986,0.8819,3271,9,145,575
4,cWGAN-GP,0.9145,0.525,0.6885,3280,0,342,378
5,Original (sem balancear),0.8835,0.8306,0.7196,2936,344,122,598
5,SMOTETomek,0.9882,0.9694,0.9674,3255,25,22,698
5,WGAN-GP,0.9748,0.8653,0.925,3276,4,97,623
5,cWGAN-GP,0.872,0.5944,0.6257,3060,220,292,428
6,Original (sem balancear),0.959,0.8083,0.8765,3254,26,138,582
6,SMOTETomek,0.976,0.9111,0.9318,3248,32,64,656
6,WGAN-GP,0.9615,0.8028,0.8824,3268,12,142,578
6,cWGAN-GP,0.9758,0.8667,0.9279,3279,1,96,624
7,Original (sem balancear),0.9525,0.7361,0.848,3280,0,190,530
7,SMOTETomek,0.9533,0.8611,0.869,3193,87,100,620
7,WGAN-GP,0.9698,0.8403,0.9091,3274,6,115,605
7,cWGAN-GP,0.966,0.8292,0.8977,3267,13,123,597
8,Original (sem balancear),0.9607,0.8403,0.8851,3238,42,115,605
8,SMOTETomek,0.9785,0.925,0.9394,3248,32,54,666
8,WGAN-GP,0.9745,0.8653,0.9243,3275,5,97,623
8,cWGAN-GP,0.924,0.5778,0.7324,3280,0,304,416
9,Original (sem balancear),0.9533,0.7611,0.8542,3265,15,172,548
9,SMOTETomek,0.97,0.9097,0.9161,3225,55,65,655
9,WGAN-GP,0.9597,0.8069,0.8783,3258,22,139,581
9,cWGAN-GP,0.9695,0.8333,0.9077,3278,2,120,600
10,Original (sem balancear),0.948,0.7708,0.8422,3237,43,165,555
10,SMOTETomek,0.9708,0.9236,0.9191,3218,62,55,665
10,WGAN-GP,0.9503,0.7833,0.85,3237,43,156,564
10,cWGAN-GP,0.9688,0.8264,0.9049,3280,0,125,595
