Fold,Cenario,ACC,Recall,F1-Score,TN,FP,FN,TP
1,Original (sem balancear),0.9343,0.6431,0.7788,3274,6,257,463
1,SMOTETomek,0.946,0.75,0.8333,3244,36,180,540
1,WGAN-GP,0.944,0.7111,0.8205,3264,16,208,512
1,cWGAN-GP,0.948,0.7306,0.8349,3266,14,194,526
2,Original (sem balancear),0.9832,0.9222,0.952,3269,11,56,664
2,SMOTETomek,0.9905,0.9764,0.9737,3259,21,17,703
2,WGAN-GP,0.9553,0.7764,0.862,3262,18,161,559
2,cWGAN-GP,0.9912,0.9653,0.9754,3270,10,25,695
3,Original (sem balancear),0.9345,0.6403,0.7787,3277,3,259,461
3,SMOTETomek,0.944,0.7333,0.825,3248,32,192,528
3,WGAN-GP,0.9445,0.7125,0.8221,3265,15,207,513
3,cWGAN-GP,0.946,0.7069,0.825,3275,5,211,509
4,Original (sem balancear),0.9365,0.6819,0.7945,3255,25,229,491
4,SMOTETomek,0.9535,0.7792,0.8578,3253,27,159,561
4,WGAN-GP,0.9543,0.7569,0.8562,3272,8,175,545
4,cWGAN-GP,0.95,0.7306,0.8403,3274,6,194,526
5,Original (sem balancear),0.941,0.6764,0.805,3277,3,233,487
5,SMOTETomek,0.9543,0.7708,0.8585,3262,18,165,555
5,WGAN-GP,0.953,0.7458,0.851,3275,5,183,537
5,cWGAN-GP,0.95,0.7347,0.841,3271,9,191,529
6,Original (sem balancear),0.942,0.6778,0.8079,3280,0,232,488
6,SMOTETomek,0.9503,0.7278,0.8404,3277,3,196,524
6,WGAN-GP,0.9473,0.7125,0.8294,3276,4,207,513
6,cWGAN-GP,0.9467,0.7139,0.8284,3273,7,206,514
7,Original (sem balancear),0.9405,0.6736,0.803,3277,3,235,485
7,SMOTETomek,0.948,0.7583,0.84,3246,34,174,546
7,WGAN-GP,0.9445,0.7125,0.8221,3265,15,207,513
7,cWGAN-GP,0.9483,0.7333,0.8361,3265,15,192,528
8,Original (sem balancear),0.943,0.6889,0.8131,3276,4,224,496
8,SMOTETomek,0.9465,0.7375,0.8323,3255,25,189,531
8,WGAN-GP,0.9485,0.7306,0.8362,3268,12,194,526
8,cWGAN-GP,0.9503,0.7389,0.8424,3269,11,188,532
9,Original (sem balancear),0.9467,0.7042,0.8264,3280,0,213,507
9,SMOTETomek,0.9537,0.7861,0.8595,3249,31,154,566
9,WGAN-GP,0.9553,0.7875,0.8637,3254,26,153,567
9,cWGAN-GP,0.9533,0.7556,0.8533,3269,11,176,544
10,Original (sem balancear),0.9433,0.6875,0.8135,3278,2,225,495
10,SMOTETomek,0.947,0.7611,0.8379,3240,40,172,548
10,WGAN-GP,0.9527,0.7458,0.8504,3274,6,183,537
10,cWGAN-GP,0.9485,0.7236,0.8349,3273,7,199,521
