Fold,Cenario,ACC,Recall,F1-Score,TN,FP,FN,TP
1,Original (sem balancear),0.9573,0.7778,0.8675,3269,11,160,560
1,SMOTETomek,0.972,0.95,0.9243,3204,76,36,684
1,WGAN-GP,0.9708,0.9278,0.9195,3215,65,52,668
1,cWGAN-GP,0.9695,0.9097,0.9148,3223,57,65,655
2,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
2,SMOTETomek,0.97,0.9292,0.9177,3211,69,51,669
2,WGAN-GP,0.9695,0.9292,0.9164,3209,71,51,669
2,cWGAN-GP,0.9702,0.9208,0.9176,3218,62,57,663
3,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
3,SMOTETomek,0.9685,0.9125,0.9125,3217,63,63,657
3,WGAN-GP,0.9725,0.9125,0.9228,3233,47,63,657
3,cWGAN-GP,0.9708,0.9,0.9172,3235,45,72,648
4,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
4,SMOTETomek,0.9758,0.9292,0.9324,3234,46,51,669
4,WGAN-GP,0.9782,0.9236,0.9386,3248,32,55,665
4,cWGAN-GP,0.9778,0.9278,0.9375,3243,37,52,668
5,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
5,SMOTETomek,0.9645,0.9431,0.9053,3179,101,41,679
5,WGAN-GP,0.9762,0.9333,0.934,3233,47,48,672
5,cWGAN-GP,0.9765,0.9292,0.9344,3237,43,51,669
6,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
6,SMOTETomek,0.967,0.9014,0.9077,3219,61,71,649
6,WGAN-GP,0.9673,0.8903,0.9073,3228,52,79,641
6,cWGAN-GP,0.97,0.8944,0.9148,3236,44,76,644
7,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
7,SMOTETomek,0.9645,0.9278,0.9039,3190,90,52,668
7,WGAN-GP,0.9673,0.8944,0.9077,3225,55,76,644
7,cWGAN-GP,0.963,0.9111,0.8986,3196,84,64,656
8,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
8,SMOTETomek,0.966,0.9194,0.9068,3202,78,58,662
8,WGAN-GP,0.971,0.9,0.9178,3236,44,72,648
8,cWGAN-GP,0.925,0.6875,0.7674,3205,75,225,495
9,Original (sem balancear),0.82,0.0,0.0,3280,0,720,0
9,SMOTETomek,0.9665,0.9139,0.9076,3208,72,62,658
9,WGAN-GP,0.9732,0.9111,0.9246,3237,43,64,656
9,cWGAN-GP,0.9752,0.9153,0.9301,3242,38,61,659
10,Original (sem balancear),0.904,0.6486,0.7086,3149,131,253,467
10,SMOTETomek,0.9643,0.9194,0.9025,3195,85,58,662
10,WGAN-GP,0.9732,0.9194,0.9252,3231,49,58,662
10,cWGAN-GP,0.9333,0.9208,0.8324,3070,210,57,663
