Dataset,Cenario,Modelo,ACC,Recall,F1-Score,TN,FP,FN,TP
TON_IoT,Original (sem balancear),MLP,0.9644,0.869,0.8979,9696,144,283,1877
TON_IoT,Original (sem balancear),XGBoost,0.9926,0.9676,0.9792,9821,19,70,2090
TON_IoT,Original (sem balancear),RandomForest,0.9925,0.9713,0.979,9812,28,62,2098
TON_IoT,Original (sem balancear),LSTM,0.8251,0.1065,0.1798,9671,169,1930,230
TON_IoT,SMOTETomek,MLP,0.7408,0.9153,0.5597,6913,2927,183,1977
TON_IoT,SMOTETomek,XGBoost,0.9887,0.9704,0.9686,9768,72,64,2096
TON_IoT,SMOTETomek,RandomForest,0.9898,0.9745,0.9718,9773,67,55,2105
TON_IoT,SMOTETomek,LSTM,0.7394,0.9102,0.557,6907,2933,194,1966
TON_IoT,GAN+MLP,MLP,0.9653,0.8806,0.9012,9681,159,258,1902
TON_IoT,GAN+MLP,XGBoost,0.9918,0.9653,0.977,9817,23,75,2085
TON_IoT,GAN+MLP,RandomForest,0.9923,0.9718,0.9786,9809,31,61,2099
TON_IoT,GAN+MLP,LSTM,0.7567,0.8829,0.5664,7173,2667,253,1907
TON_IoT,WGAN-GP,MLP,0.7974,0.8981,0.6148,7629,2211,220,1940
TON_IoT,WGAN-GP,XGBoost,0.9927,0.9685,0.9794,9820,20,68,2092
TON_IoT,WGAN-GP,RandomForest,0.9927,0.9718,0.9795,9813,27,61,2099
TON_IoT,WGAN-GP,LSTM,0.7383,0.7815,0.5181,7172,2668,472,1688
TON_IoT,cWGAN-GP,MLP,0.9631,0.8579,0.8932,9704,136,307,1853
TON_IoT,cWGAN-GP,XGBoost,0.9922,0.9662,0.978,9819,21,73,2087
TON_IoT,cWGAN-GP,RandomForest,0.9923,0.9713,0.9785,9810,30,62,2098
TON_IoT,cWGAN-GP,LSTM,0.7269,0.2542,0.251,8174,1666,1611,549
TON_IoT,CTGAN,MLP,0.739,0.9153,0.558,6891,2949,183,1977
TON_IoT,CTGAN,XGBoost,0.9927,0.9676,0.9794,9822,18,70,2090
TON_IoT,CTGAN,RandomForest,0.9924,0.9722,0.9788,9809,31,60,2100
TON_IoT,CTGAN,LSTM,0.7461,0.9023,0.5613,7004,2836,211,1949
