Dataset,Cenario,Modelo,ACC,Recall,F1-Score,TN,FP,FN,TP
UNSW-NB15,Original (sem balancear),MLP,0.9553,0.8338,0.8703,9662,178,359,1801
UNSW-NB15,Original (sem balancear),XGBoost,0.9613,0.8597,0.8887,9678,162,303,1857
UNSW-NB15,Original (sem balancear),RandomForest,0.9636,0.862,0.895,9701,139,298,1862
UNSW-NB15,Original (sem balancear),LSTM,0.9093,0.6343,0.7156,9541,299,790,1370
UNSW-NB15,SMOTETomek,MLP,0.9042,0.9361,0.7787,8829,1011,138,2022
UNSW-NB15,SMOTETomek,XGBoost,0.9603,0.8829,0.8888,9616,224,253,1907
UNSW-NB15,SMOTETomek,RandomForest,0.9617,0.8852,0.8928,9629,211,248,1912
UNSW-NB15,SMOTETomek,LSTM,0.8788,0.9301,0.7341,8536,1304,151,2009
UNSW-NB15,GAN+MLP,MLP,0.9553,0.812,0.8675,9710,130,406,1754
UNSW-NB15,GAN+MLP,XGBoost,0.9613,0.8606,0.889,9677,163,301,1859
UNSW-NB15,GAN+MLP,RandomForest,0.9637,0.863,0.8953,9700,140,296,1864
UNSW-NB15,GAN+MLP,LSTM,0.9054,0.6255,0.7042,9514,326,809,1351
UNSW-NB15,WGAN-GP,MLP,0.9354,0.8306,0.8224,9431,409,366,1794
UNSW-NB15,WGAN-GP,XGBoost,0.9612,0.8634,0.8889,9669,171,295,1865
UNSW-NB15,WGAN-GP,RandomForest,0.9633,0.8606,0.894,9700,140,301,1859
UNSW-NB15,WGAN-GP,LSTM,0.9119,0.7319,0.7495,9362,478,579,1581
UNSW-NB15,cWGAN-GP,MLP,0.924,0.7458,0.7794,9477,363,549,1611
UNSW-NB15,cWGAN-GP,XGBoost,0.9612,0.8606,0.8886,9675,165,301,1859
UNSW-NB15,cWGAN-GP,RandomForest,0.9642,0.862,0.8965,9708,132,298,1862
UNSW-NB15,cWGAN-GP,LSTM,0.8982,0.6528,0.6977,9368,472,750,1410
UNSW-NB15,CTGAN,MLP,0.9151,0.9222,0.7963,8989,851,168,1992
UNSW-NB15,CTGAN,XGBoost,0.9613,0.8606,0.889,9677,163,301,1859
UNSW-NB15,CTGAN,RandomForest,0.9633,0.8648,0.8946,9692,148,292,1868
UNSW-NB15,CTGAN,LSTM,0.8539,0.9523,0.7012,8190,1650,103,2057
