Dataset,Modelo,TP_att,FN_att,FP_att,TN_att,Cenario_att,F1_att,FN_orig_att,Red_FN_pct_att,TP_ben,FN_ben,FP_ben,TN_ben,Cenario_ben,F1_ben
CICIDS2017,MLP,2100,60,180,9660,GAN+MLP,0.9459,37,-62.2,2100,60,180,9660,GAN+MLP,0.9459
CICIDS2017,XGBoost,2156,4,7,9833,SMOTETomek,0.9975,4,0.0,2155,5,5,9835,GAN+MLP,0.9977
CICIDS2017,RandomForest,2153,7,3,9837,SMOTETomek,0.9977,14,50.0,2153,7,3,9837,SMOTETomek,0.9977
CICIDS2017,LSTM,1870,290,553,9287,cWGAN-GP,0.8161,1716,83.1,1870,290,553,9287,cWGAN-GP,0.8161
UNSW-NB15,MLP,1756,404,139,9701,GAN+MLP,0.8661,421,4.0,1756,404,139,9701,GAN+MLP,0.8661
UNSW-NB15,XGBoost,1907,253,224,9616,SMOTETomek,0.8888,303,16.5,1859,301,162,9678,CTGAN,0.8893
UNSW-NB15,RandomForest,1912,248,211,9629,SMOTETomek,0.8928,298,16.8,1861,299,138,9702,GAN+MLP,0.8949
UNSW-NB15,LSTM,2004,156,1343,8497,SMOTETomek,0.7278,845,81.5,1429,731,278,9562,WGAN-GP,0.7391
IoT-23,MLP,1522,638,25,9815,WGAN-GP,0.8211,636,-0.3,1522,638,25,9815,WGAN-GP,0.8211
IoT-23,XGBoost,1888,272,25,9815,SMOTETomek,0.9271,273,0.4,1884,276,2,9838,GAN+MLP,0.9313
IoT-23,RandomForest,1893,267,134,9706,cWGAN-GP,0.9042,269,0.7,1892,268,133,9707,WGAN-GP,0.9042
IoT-23,LSTM,1466,694,171,9669,WGAN-GP,0.7722,1169,40.6,1456,704,112,9728,cWGAN-GP,0.7811
