Dataset,Modelo,Cenario,FN,FN_lo,FN_hi,FP,F1,F1_lo,F1_hi,RecAte,RecAte_lo,RecAte_hi
Edge-IIoTset,MLP,Original (sem balancear),327,295,360,3,0.9174,0.9158,0.9189,0.8486,0.8333,0.8634
Edge-IIoTset,MLP,SMOTETomek,284,254,315,90,0.9094,0.905,0.9136,0.8685,0.8542,0.8824
Edge-IIoTset,MLP,GAN+MLP,425,389,462,206,0.8461,0.8397,0.8524,0.8032,0.7861,0.8199
Edge-IIoTset,MLP,WGAN-GP,296,265,328,3,0.9258,0.9243,0.9271,0.863,0.8481,0.8773
Edge-IIoTset,MLP,cWGAN-GP,503,465,542,72,0.8521,0.8473,0.8567,0.7671,0.7491,0.7847
Edge-IIoTset,MLP,CTGAN,297,266,329,98,0.9041,0.8996,0.9085,0.8625,0.8477,0.8769
Edge-IIoTset,XGBoost,Original (sem balancear),35,24,47,0,0.9918,0.9918,0.9919,0.9838,0.9782,0.9889
Edge-IIoTset,XGBoost,SMOTETomek,0,0,0,64,0.9854,0.9818,0.9888,1.0,1.0,1.0
Edge-IIoTset,XGBoost,GAN+MLP,36,25,48,0,0.9916,0.9915,0.9916,0.9833,0.9778,0.9884
Edge-IIoTset,XGBoost,WGAN-GP,39,27,52,0,0.9909,0.9908,0.9909,0.9819,0.9759,0.9875
Edge-IIoTset,XGBoost,cWGAN-GP,36,25,48,0,0.9916,0.9915,0.9916,0.9833,0.9778,0.9884
Edge-IIoTset,XGBoost,CTGAN,35,24,47,0,0.9918,0.9918,0.9919,0.9838,0.9782,0.9889
Edge-IIoTset,RandomForest,Original (sem balancear),37,26,49,0,0.9914,0.9913,0.9914,0.9829,0.9773,0.988
Edge-IIoTset,RandomForest,SMOTETomek,0,0,0,66,0.985,0.9814,0.9883,1.0,1.0,1.0
Edge-IIoTset,RandomForest,GAN+MLP,37,26,49,0,0.9914,0.9913,0.9914,0.9829,0.9773,0.988
Edge-IIoTset,RandomForest,WGAN-GP,36,25,48,0,0.9916,0.9915,0.9916,0.9833,0.9778,0.9884
Edge-IIoTset,RandomForest,cWGAN-GP,36,25,48,0,0.9916,0.9915,0.9916,0.9833,0.9778,0.9884
Edge-IIoTset,RandomForest,CTGAN,35,24,47,0,0.9918,0.9918,0.9919,0.9838,0.9782,0.9889
Edge-IIoTset,LSTM,Original (sem balancear),1156,1111,1201,1,0.6344,0.6236,0.6445,0.4648,0.444,0.4856
Edge-IIoTset,LSTM,SMOTETomek,1015,970,1060,98,0.6729,0.6632,0.6822,0.5301,0.5093,0.5509
Edge-IIoTset,LSTM,GAN+MLP,716,673,759,1243,0.5958,0.5851,0.6065,0.6685,0.6486,0.6884
