Dataset,Modelo,Tol,Estrategia,FN_best,Red_FN_pct,F1_best
CICIDS2017,MLP,0.0,GAN+MLP,60,-62.2,0.9459
CICIDS2017,MLP,0.02,GAN+MLP,60,-62.2,0.9459
CICIDS2017,MLP,0.05,GAN+MLP,60,-62.2,0.9459
CICIDS2017,MLP,0.1,GAN+MLP,60,-62.2,0.9459
CICIDS2017,XGBoost,0.0,GAN+MLP,5,-25.0,0.9977
CICIDS2017,XGBoost,0.02,SMOTETomek,4,0.0,0.9975
CICIDS2017,XGBoost,0.05,SMOTETomek,4,0.0,0.9975
CICIDS2017,XGBoost,0.1,SMOTETomek,4,0.0,0.9975
CICIDS2017,RandomForest,0.0,SMOTETomek,7,50.0,0.9977
CICIDS2017,RandomForest,0.02,SMOTETomek,7,50.0,0.9977
CICIDS2017,RandomForest,0.05,SMOTETomek,7,50.0,0.9977
CICIDS2017,RandomForest,0.1,SMOTETomek,7,50.0,0.9977
CICIDS2017,LSTM,0.0,cWGAN-GP,290,83.1,0.8161
CICIDS2017,LSTM,0.02,cWGAN-GP,290,83.1,0.8161
CICIDS2017,LSTM,0.05,cWGAN-GP,290,83.1,0.8161
CICIDS2017,LSTM,0.1,cWGAN-GP,290,83.1,0.8161
UNSW-NB15,MLP,0.0,GAN+MLP,404,4.0,0.8661
UNSW-NB15,MLP,0.02,GAN+MLP,404,4.0,0.8661
UNSW-NB15,MLP,0.05,GAN+MLP,404,4.0,0.8661
UNSW-NB15,MLP,0.1,SMOTETomek,168,60.1,0.7952
UNSW-NB15,XGBoost,0.0,cWGAN-GP,296,2.3,0.8893
UNSW-NB15,XGBoost,0.02,SMOTETomek,253,16.5,0.8888
UNSW-NB15,XGBoost,0.05,SMOTETomek,253,16.5,0.8888
UNSW-NB15,XGBoost,0.1,SMOTETomek,253,16.5,0.8888
UNSW-NB15,RandomForest,0.0,WGAN-GP,288,3.4,0.8963
UNSW-NB15,RandomForest,0.02,SMOTETomek,248,16.8,0.8928
UNSW-NB15,RandomForest,0.05,SMOTETomek,248,16.8,0.8928
UNSW-NB15,RandomForest,0.1,SMOTETomek,248,16.8,0.8928
UNSW-NB15,LSTM,0.0,CTGAN,207,75.5,0.7669
UNSW-NB15,LSTM,0.02,CTGAN,207,75.5,0.7669
UNSW-NB15,LSTM,0.05,SMOTETomek,156,81.5,0.7278
UNSW-NB15,LSTM,0.1,SMOTETomek,156,81.5,0.7278
IoT-23,MLP,0.0,WGAN-GP,638,-0.3,0.8211
IoT-23,MLP,0.02,WGAN-GP,638,-0.3,0.8211
IoT-23,MLP,0.05,WGAN-GP,638,-0.3,0.8211
IoT-23,MLP,0.1,WGAN-GP,638,-0.3,0.8211
IoT-23,XGBoost,0.0,GAN+MLP,276,-1.1,0.9313
IoT-23,XGBoost,0.02,SMOTETomek,272,0.4,0.9271
IoT-23,XGBoost,0.05,SMOTETomek,272,0.4,0.9271
IoT-23,XGBoost,0.1,SMOTETomek,272,0.4,0.9271
IoT-23,RandomForest,0.0,cWGAN-GP,267,0.7,0.9042
IoT-23,RandomForest,0.02,cWGAN-GP,267,0.7,0.9042
IoT-23,RandomForest,0.05,cWGAN-GP,267,0.7,0.9042
IoT-23,RandomForest,0.1,SMOTETomek,255,5.2,0.8508
IoT-23,LSTM,0.0,cWGAN-GP,704,39.8,0.7811
IoT-23,LSTM,0.02,WGAN-GP,694,40.6,0.7722
IoT-23,LSTM,0.05,WGAN-GP,694,40.6,0.7722
IoT-23,LSTM,0.1,WGAN-GP,694,40.6,0.7722
